Category,City,Container,Customer ID,Customer Name,Customer Segment,Department,Item,Item ID,Order Date,Order ID,Order Priority,Postal Code,Region,Row ID,Ship Date,Ship Mode,State,Discount,Order Quantity,Product Base Margin,Profit,Sales,Shipping Cost,Unit Price
Pens & Art Supplies,Kingsville,Wrap Bag,1538,Ryan Rosen,Consumer,Office Supplies,Newell 340,11149,10/27/2020,90429,Critical,78363,Central,20361,10/29/2020,Regular Air,Texas,0.01,15,0.56,10,43,1,3
Bookcases,Centereach,Jumbo Box,1417,Dorothy Huff,Corporate,Furniture,"Sauder Forest Hills Library, Woodland Oak Finish",11015,4/26/2018,90542,Low,11720,East,20362,4/28/2018,Delivery Truck,New York,0.04,8,0.77,-444,1114,36,141
Chairs & Chairmats,Centereach,Jumbo Drum,1417,Dorothy Huff,Corporate,Furniture,"Global High-Back Leather Tilter, Burgundy",11166,4/26/2018,90542,Low,11720,East,20363,5/1/2018,Delivery Truck,New York,0.05,7,0.74,-1086,902,70,123
Telephones and Communication,Lorain,Small Box,1907,Amy Hall,Small Business,Technology,Item 10603,10603,7/18/2020,86505,Medium,44052,East,20364,7/19/2020,Regular Air,Ohio,0,16,0.56,639,926,5,66
Chairs & Chairmats,Derry,Jumbo Drum,1577,Betty Buckley,Corporate,Furniture,Global Deluxe Office Fabric Chairs,10581,2/9/2020,90940,Not Specified,3038,East,20365,2/11/2020,Delivery Truck,New Hampshire,0.1,13,0.58,-1335,1183,58,96
"Scissors, Rulers and Trimmers",Southbury,Wrap Bag,3379,Annette McIntyre,Home Office,Office Supplies,Serrated Blade or Curved Handle Hand Letter Openers,11255,10/23/2017,88839,Critical,6488,East,20366,10/24/2017,Express Air,Connecticut,0.05,18,0.84,1628,59,2,3
Storage & Organization,Brownsville,Small Box,914,Marianne Cochran,Home Office,Office Supplies,Eldon Shelf Savers™ Cubes and Bins,10489,3/9/2020,86363,High,78521,Central,20367,3/10/2020,Regular Air,Texas,0.06,8,0.83,-259,59,10,7
Paper,Provo,Wrap Bag,556,Kristina Sanders,Home Office,Office Supplies,"Adams Phone Message Book, 200 Message Capacity, 8 1/16” x 11”",10666,1/26/2017,86189,Medium,84604,West,20368,1/27/2017,Express Air,Utah,0,9,0.39,46,67,2,7
Storage & Organization,Provo,Large Box,556,Kristina Sanders,Home Office,Office Supplies,Fellowes Neat Ideas® Storage Cubes,10744,1/26/2017,86189,Medium,84604,West,20369,1/26/2017,Express Air,Utah,0.03,8,0.81,-1116,275,35,32
Telephones and Communication,East Hartford,Small Box,2758,April Flynn,Corporate,Technology,i1000plus,10127,9/16/2020,90729,Low,6108,East,20370,9/20/2020,Regular Air,Connecticut,0.09,16,0.57,621,1590,4,126
Office Furnishings,Mount Lebanon,Medium Box,1946,Teresa Wallace,Consumer,Furniture,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,11042,1/24/2017,86331,Medium,15228,East,20371,1/26/2017,Regular Air,Pennsylvania,0.08,12,0.74,-1921,1058,56,91
Paper,Mount Lebanon,Small Box,1946,Teresa Wallace,Consumer,Office Supplies,Xerox 1947,10874,1/24/2017,86331,Medium,15228,East,20372,1/26/2017,Regular Air,Pennsylvania,0.07,3,0.4,-37,18,5,6
Office Machines,San Juan,Jumbo Drum,408,Calvin Parsons Walter,Corporate,Technology,Okidata ML591 Wide Format Dot Matrix Printer,10321,9/20/2020,89642,High,78589,Central,20373,9/22/2020,Delivery Truck,Texas,0.09,2,0.56,-1739,1476,16,811
Chairs & Chairmats,Hopatcong,Jumbo Drum,1201,Dianne Kaufman,Small Business,Furniture,Hon 4070 Series Pagoda™ Round Back Stacking Chairs,10592,5/24/2020,87601,Medium,7843,East,20374,5/25/2020,Delivery Truck,New Jersey,0.05,2,0.57,-99,639,59,321
Paper,Brooklyn,Wrap Bag,764,Judy Kirk,Consumer,Office Supplies,Array® Memo Cubes,10610,7/20/2020,90945,Critical,11226,East,20375,7/22/2020,Regular Air,New York,0.06,11,0.36,25,54,2,5
Computer Peripherals,Southbury,Small Box,2215,Christopher High,Corporate,Technology,Keytronic French Keyboard,10679,9/23/2018,90316,Low,6488,East,20376,9/25/2018,Regular Air,Connecticut,0.02,17,0.65,225,1338,15,74
Telephones and Communication,Irving,Small Box,762,Stuart Holloway,Small Business,Technology,5170i,10866,10/25/2017,87525,Not Specified,75061,Central,20377,10/27/2017,Regular Air,Texas,0,12,0.57,614,1362,9,126
Paper,Kingsville,Small Box,1538,Ryan Rosen,Consumer,Office Supplies,Xerox 1917,10041,4/27/2019,90423,Not Specified,78363,Central,20378,4/28/2019,Regular Air,Texas,0.03,13,0.38,427,618,6,49
Tables,Kingsville,Jumbo Box,1538,Ryan Rosen,Consumer,Furniture,Hon 94000 Series Round Tables,10880,4/27/2019,90423,Not Specified,78363,Central,20379,4/29/2019,Delivery Truck,Texas,0.08,14,0.76,229,3247,54,296
Binders and Binder Accessories,Irving,Small Box,2854,Brian Norman,Corporate,Office Supplies,Self-Adhesive Ring Binder Labels,10783,8/15/2019,87320,Critical,75061,Central,20380,8/17/2019,Regular Air,Texas,0.08,6,0.38,-33,23,7,4
Storage & Organization,Deer Park,Small Box,1085,Ted Dunlap,Home Office,Office Supplies,Staples File Caddy,11252,7/12/2018,86126,Not Specified,11729,East,20381,7/13/2018,Regular Air,New York,0.09,5,0.57,-75,47,7,9
Binders and Binder Accessories,Apex,Small Box,1015,Beverly Cameron,Home Office,Office Supplies,Binding Machine Supplies,10763,11/15/2020,88402,Low,27502,South,20382,11/17/2020,Regular Air,North Carolina,0.09,33,0.37,15,882,6,29
Office Machines,Irving,Jumbo Drum,1074,Sherry Brantley,Home Office,Technology,Okidata ML395C Color Dot Matrix Printer,10036,9/12/2019,86425,Not Specified,75061,Central,20383,9/13/2019,Delivery Truck,Texas,0.06,2,0.59,-2816,2736,15,1360
Chairs & Chairmats,Southbury,Jumbo Drum,2409,Florence Wilder,Small Business,Furniture,Global Enterprise Series Seating High-Back Swivel/Tilt Chairs,10398,9/19/2018,85819,High,6488,East,20384,9/20/2018,Delivery Truck,Connecticut,0.09,3,0.77,-542,776,50,271
Office Machines,Issaquah,Medium Box,3025,Kent Hardy,Home Office,Technology,Canon MP41DH Printing Calculator,11203,4/3/2019,90949,High,98027,West,20385,4/4/2019,Regular Air,Washington,0.01,11,0.38,1157,1677,14,151
Storage & Organization,Issaquah,Small Box,3025,Kent Hardy,Home Office,Office Supplies,Deluxe Rollaway Locking File with Drawer,10091,4/3/2019,90949,High,98027,West,20386,4/5/2019,Regular Air,Washington,0.06,3,0.57,858,1243,11,416
Telephones and Communication,Kennewick,Small Box,3026,Lewis Khan,Home Office,Technology,T65,10932,4/3/2019,90949,High,99336,West,20387,4/5/2019,Regular Air,Washington,0.05,7,0.56,810,1174,4,196
Paper,Hurst,Small Box,2423,Nicholas Wallace,Home Office,Office Supplies,Xerox 1959,11032,5/18/2019,89058,Not Specified,76053,Central,20388,5/19/2019,Regular Air,Texas,0.05,15,0.37,-116,105,7,7
Telephones and Communication,Hurst,Small Box,2423,Nicholas Wallace,Home Office,Technology,i2000,10890,5/18/2019,89058,Not Specified,76053,Central,20389,5/19/2019,Regular Air,Texas,0,16,0.6,1241,1799,3,126
Paper,Louisville,Wrap Bag,2962,Leonard Strauss,Consumer,Office Supplies,Wirebound Voice Message Log Book,10728,5/5/2017,88611,High,80027,West,20390,5/7/2017,Express Air,Colorado,0.07,10,0.39,33,48,1,5
Paper,Centereach,Wrap Bag,1777,Miriam Greenberg,Consumer,Office Supplies,"Wirebound Message Book, 4 per Page",10496,4/20/2017,89939,Low,11720,East,20391,4/24/2017,Regular Air,New York,0.07,7,0.36,27,38,1,5
Envelopes,Boston,Small Box,1998,Judy Frazier,Corporate,Office Supplies,Grip Seal Envelopes,10037,12/1/2017,90568,Not Specified,2129,East,20392,12/3/2017,Regular Air,Massachusetts,0.06,3,0.38,-10,15,5,4
Telephones and Communication,Madison Heights,Small Box,2791,Dawn Larson,Corporate,Technology,Item 10757,10757,7/17/2018,88760,Critical,48071,Central,20393,7/19/2018,Regular Air,Michigan,0.01,12,0.59,498,722,8,66
Paper,Smyrna,Wrap Bag,823,Christian Albright,Small Business,Office Supplies,"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4",10994,7/31/2019,89264,Critical,37167,South,20394,8/2/2019,Regular Air,Tennessee,0,11,0.36,-74,94,6,8
Computer Peripherals,Centereach,Small Pack,1777,Miriam Greenberg,Corporate,Technology,"Memorex 4.7GB DVD+RW, 3/Pack",11179,12/2/2019,89951,High,11720,East,20395,12/4/2019,Regular Air,New York,0.1,22,0.4,389,564,2,28
Pens & Art Supplies,Carrollton,Wrap Bag,1237,Eva Simpson,Corporate,Office Supplies,Prang Drawing Pencil Set,10420,10/26/2019,86082,Low,75007,Central,20396,10/28/2019,Regular Air,Texas,0.05,19,0.58,-5,54,1,3
Bookcases,Drexel Hill,Jumbo Box,1479,Roy Wade,Consumer,Furniture,"Sauder Camden County Collection Libraries, Planked Cherry Finish",10472,8/12/2019,90748,Critical,19026,East,20397,8/14/2019,Delivery Truck,Pennsylvania,0.08,14,0.76,-649,1554,59,115
Labels,Wilson,Small Box,2779,Jacob Burgess,Corporate,Office Supplies,Avery 496,10981,8/12/2018,87165,High,27893,South,20398,8/13/2018,Regular Air,North Carolina,0.05,13,0.37,-20,47,1,4
Telephones and Communication,Eastpointe,Small Box,2023,Dan George,Home Office,Technology,M70,11143,7/2/2019,90764,Not Specified,48021,Central,20399,7/3/2019,Regular Air,Michigan,0.01,7,0.59,223,757,9,126
Binders and Binder Accessories,Everett,Small Box,371,Roberta Mullins Peters,Corporate,Office Supplies,3M Organizer Strips,10479,5/25/2017,90291,Not Specified,2149,East,20400,5/27/2017,Express Air,Massachusetts,0.05,9,0.37,-133,52,8,5
Telephones and Communication,Lewiston,Medium Box,370,Sam Oh,Corporate,Technology,1726 Digital Answering Machine,11113,5/25/2017,90291,Not Specified,4240,East,20401,5/27/2017,Regular Air,Maine,0.02,15,0.58,50,266,5,21
Computer Peripherals,Southbury,Small Box,2409,Florence Wilder,Small Business,Technology,Microsoft Internet Keyboard,11090,8/15/2018,85818,Not Specified,6488,East,20402,8/17/2018,Regular Air,Connecticut,0.09,14,0.78,-83,286,7,21
Telephones and Communication,Boston,Small Box,2511,Brad Teague,Home Office,Technology,Item 11196,11196,8/30/2018,87035,Low,2111,East,20403,9/4/2018,Express Air,Massachusetts,0.04,2,0.56,-247,114,9,66
"Scissors, Rulers and Trimmers",Colchester,Small Pack,2523,Russell Chen,Home Office,Office Supplies,"Elite 5"" Scissors",10408,8/30/2018,87035,Low,5439,East,20404,9/4/2018,Regular Air,Vermont,0.07,20,0.55,-204,165,8,8
Computer Peripherals,Boston,Small Box,1888,Charlie Blalock,Corporate,Technology,US Robotics 56K V.92 External Faxmodem,10693,6/26/2020,90640,High,2129,East,20405,6/28/2020,Regular Air,Massachusetts,0.07,15,0.52,538,1444,20,100
Paper,Boston,Small Box,1888,Charlie Blalock,Corporate,Office Supplies,Xerox 188,11195,6/26/2020,90640,High,2129,East,20406,6/28/2020,Regular Air,Massachusetts,0.1,12,0.36,41,130,5,11
Computer Peripherals,Caldwell,Small Pack,2741,Megan York,Small Business,Technology,"Imation 3.5 IBM Formatted Diskettes, 10/Box",11218,8/19/2019,89486,Not Specified,83605,West,20407,8/22/2019,Regular Air,Idaho,0.1,16,0.74,-38,121,2,8
"Scissors, Rulers and Trimmers",Oxford,Small Pack,351,Juanita Coley Knox,Home Office,Office Supplies,Acme® Elite Stainless Steel Scissors,10741,6/7/2017,88685,Critical,1540,East,20408,6/9/2017,Express Air,Massachusetts,0,6,0.59,11,56,3,8
Paper,Parker,Small Box,602,Randall Bynum,Home Office,Office Supplies,Xerox 1939,10792,5/15/2020,87025,Low,80134,West,20409,5/17/2020,Regular Air,Colorado,0.01,14,0.37,128,287,10,19
Appliances,Mandan,Jumbo Drum,3126,Jeffrey Strauss,Home Office,Office Supplies,3.6 Cubic Foot Counter Height Office Refrigerator,10557,2/26/2018,87288,Low,58554,Central,20410,3/2/2018,Delivery Truck,North Dakota,0.03,8,0.57,1585,2297,43,295
Appliances,Southgate,Small Box,2011,Wayne Bean,Corporate,Office Supplies,Acco 6 Outlet Guardian Premium Surge Suppressor,10978,6/9/2020,86881,Medium,48195,Central,20411,6/9/2020,Regular Air,Michigan,0.04,10,0.58,58,148,4,15
Office Machines,Sterling Heights,Jumbo Drum,2012,Gretchen Davis,Corporate,Technology,Epson LQ-570e Dot Matrix Printer,10673,6/9/2020,86881,Medium,48310,Central,20412,6/11/2020,Delivery Truck,Michigan,0.1,8,0.56,424,1961,28,271
Pens & Art Supplies,Gainesville,Wrap Bag,2859,Brad H Blake,Corporate,Office Supplies,Newell 310,10644,6/24/2020,88291,Low,32601,South,20413,6/26/2020,Express Air,Florida,0.01,19,0.56,144,38,1,2
Envelopes,Oxford,Small Box,1041,Mildred Chase,Small Business,Office Supplies,Park Ridge™ Embossed Executive Business Envelopes,10936,10/27/2020,87852,Critical,1540,East,20414,10/28/2020,Regular Air,Massachusetts,0,15,0.38,171,248,1,16
Office Furnishings,Roswell,Small Pack,2639,Marianne Connor,Consumer,Furniture,Nu-Dell Leatherette Frames,11201,9/13/2019,90956,Not Specified,88201,West,20415,9/14/2019,Regular Air,New Mexico,0.08,14,0.49,74,191,5,14
Telephones and Communication,Roswell,Small Box,2639,Marianne Connor,Consumer,Technology,T28 WORLD,10466,9/13/2019,90956,Not Specified,88201,West,20416,9/14/2019,Regular Air,New Mexico,0.1,5,0.6,-491,765,9,196
Labels,Derry,Small Box,637,Christopher Bryant,Consumer,Office Supplies,Avery 49,10113,8/29/2018,87955,Low,3038,East,20417,8/31/2018,Regular Air,New Hampshire,0.01,17,0.36,34,49,1,3
Paper,Herndon,Small Box,3285,Ricky Garner,Consumer,Office Supplies,Xerox 1905,11061,5/22/2020,90760,Critical,20170,South,20418,5/22/2020,Regular Air,Virginia,0.09,1,0.37,-45,16,10,6
Paper,Herndon,Small Box,3285,Ricky Garner,Consumer,Office Supplies,Xerox 197,11254,5/22/2020,90760,Critical,20170,South,20419,5/24/2020,Regular Air,Virginia,0.1,11,0.4,1711,327,17,31
Telephones and Communication,Herndon,Small Box,3285,Ricky Garner,Consumer,Technology,Item 10671,10671,5/22/2020,90760,Critical,20170,South,20420,5/24/2020,Regular Air,Virginia,0.06,8,0.59,-196,1323,8,201
Computer Peripherals,Oxford,Small Pack,451,Joyce Murray,Home Office,Technology,Maxell DVD-RAM Discs,10434,10/6/2018,86018,Not Specified,1540,East,20421,10/7/2018,Regular Air,Massachusetts,0,14,0.42,157,232,2,16
Rubber Bands,Escondido,Wrap Bag,3200,Mary O Rich,Consumer,Office Supplies,Staples Gold Paper Clips,11158,3/12/2020,88441,Not Specified,92025,West,20422,3/13/2020,Regular Air,California,0.01,8,0.39,9,26,2,3
Computer Peripherals,Oxford,Small Box,3201,Benjamin McGee,Consumer,Technology,PC Concepts 116 Key Quantum 3000 Keyboard,10801,3/12/2020,88441,Not Specified,1540,East,20423,3/14/2020,Express Air,Massachusetts,0.02,13,0.75,52,441,6,33
Office Furnishings,Allentown,Small Pack,772,Jean Webster,Small Business,Furniture,"DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7",10185,9/2/2019,88672,Low,18103,East,20424,9/6/2019,Regular Air,Pennsylvania,0.02,11,0.45,-26,106,7,9
Copiers and Fax,West Linn,Jumbo Drum,771,Deborah Paul,Small Business,Technology,Canon PC940 Copier,10360,9/2/2019,88672,Low,97068,West,20425,9/4/2019,Delivery Truck,Oregon,0.02,23,0.38,7278,10548,49,450
Rubber Bands,Columbia,Wrap Bag,2075,Ronald Park,Corporate,Office Supplies,"Brites Rubber Bands, 1 1/2 oz. Box",10966,2/19/2018,87575,Medium,65203,Central,20426,2/20/2018,Regular Air,Missouri,0.1,10,0.83,-22,19,1,2
Chairs & Chairmats,Richardson,Jumbo Drum,60,Sheila Warren,Corporate,Furniture,"Global Leather Task Chair, Black",11097,7/18/2020,87420,High,75080,Central,20427,7/18/2020,Delivery Truck,Texas,0.08,2,0.66,-180,196,42,90
Pens & Art Supplies,Redondo Beach,Wrap Bag,960,Phillip Chappell,Home Office,Office Supplies,Newell 343,10576,2/2/2017,89401,Low,90278,West,20428,2/6/2017,Regular Air,California,0.03,1,0.58,-4,4,1,3
Paper,Evans,Wrap Bag,2900,Francis Edwards,Home Office,Office Supplies,EcoTones® Memo Sheets,11045,9/6/2018,86293,Medium,30809,South,20429,9/8/2018,Regular Air,Georgia,0.01,9,0.37,-317,39,1,4
"Scissors, Rulers and Trimmers",Evans,Small Pack,2900,Francis Edwards,Home Office,Office Supplies,"Acme® 8"" Straight Scissors",10506,9/6/2018,86293,Medium,30809,South,20430,9/6/2018,Regular Air,Georgia,0.08,5,0.6,-141,64,3,13
Computer Peripherals,Carrollton,Small Pack,1237,Eva Simpson,Corporate,Technology,"Maxell Pro 80 Minute CD-R, 10/Pack",10488,11/22/2020,86084,Medium,75007,Central,20431,11/24/2020,Regular Air,Texas,0.04,44,0.45,526,762,2,17
Office Machines,Carrollton,Medium Box,1237,Eva Simpson,Corporate,Technology,Polycom VoiceStation 100,10235,11/23/2017,86077,Medium,75007,Central,20432,11/24/2017,Regular Air,Texas,0.05,20,0.39,3985,5776,14,301
Telephones and Communication,Carrollton,Small Box,1237,Eva Simpson,Corporate,Technology,Phone 918,10530,11/23/2017,86077,Medium,75007,Central,20433,11/24/2017,Express Air,Texas,0.04,11,0.59,14,1878,5,206
Storage & Organization,Whittier,Small Box,782,Sarah N Becker,Small Business,Office Supplies,Home/Office Personal File Carts,10132,4/27/2017,90962,High,90604,West,20434,4/28/2017,Regular Air,California,0.04,8,0.6,193,279,5,35
Labels,Sandusky,Small Box,2980,Joanna Kenney,Corporate,Office Supplies,Avery 494,10701,8/23/2017,86547,Medium,44870,East,20435,8/25/2017,Regular Air,Ohio,0.07,6,0.39,11,16,1,3
Appliances,Maplewood,Small Box,2297,Cameron Livingston,Corporate,Office Supplies,Acco Smartsocket® Color-Coded Six-Outlet AC Adapter Model Surge Protectors,10371,5/10/2020,89163,High,7040,East,20436,5/12/2020,Regular Air,New Jersey,0.08,14,0.59,423,613,4,44
Telephones and Communication,Portland,Small Box,2293,Larry Garrison,Corporate,Technology,Item 10312,10312,5/10/2020,89163,High,4101,East,20437,5/12/2020,Regular Air,Maine,0.1,7,0.58,-60,356,9,66
Binders and Binder Accessories,Waterville,Small Box,2294,Sandra Atkins,Corporate,Office Supplies,Recycled Premium Regency Composition Covers,10082,5/10/2020,89163,High,4901,East,20438,5/11/2020,Regular Air,Maine,0.04,13,0.36,-89,198,11,15
Office Furnishings,Atascadero,Small Box,883,Alex Harding,Home Office,Furniture,Eldon Expressions Mahogany Wood Desk Collection,11172,10/24/2020,89560,Critical,93422,West,20439,10/25/2020,Regular Air,California,0.03,11,0.6,-531,1268,35,114
Binders and Binder Accessories,Oxford,Small Box,451,Joyce Murray,Home Office,Office Supplies,Accohide Poly Flexible Ring Binders,10192,5/18/2020,86026,Critical,1540,East,20440,5/19/2020,Regular Air,Massachusetts,0.09,7,0.35,-61,27,5,4
Appliances,Sharon,Small Box,2162,Brenda Jain,Home Office,Office Supplies,Hoover Commercial Soft Guard Upright Vacuum And Disposable Filtration Bags,11005,4/10/2020,90397,High,16146,East,20441,4/11/2020,Regular Air,Pennsylvania,0.09,12,0.58,-306,92,9,8
Computer Peripherals,Troy,Small Box,2156,Kristin Dorsey,Home Office,Technology,Belkin MediaBoard 104- Keyboard,10641,4/10/2020,90397,High,48098,Central,20442,4/10/2020,Express Air,Michigan,0.02,2,0.75,-67,59,4,27
Binders and Binder Accessories,Duncanville,Small Box,1126,Arlene Lutz,Consumer,Office Supplies,Avery Self-Adhesive Photo Pockets for Polaroid Photos,10930,7/9/2020,87227,Low,75116,Central,20443,7/14/2020,Regular Air,Texas,0.03,16,0.37,-65,111,5,7
Rubber Bands,Duncanville,Wrap Bag,1126,Arlene Lutz,Consumer,Office Supplies,Staples Bulldog Clip,10694,7/9/2020,87227,Low,75116,Central,20444,7/14/2020,Regular Air,Texas,0.06,10,0.39,25,36,1,4
Paper,Stratford,Small Box,1068,Erik Barr,Home Office,Office Supplies,Xerox 1982,10721,9/14/2017,87109,Low,6614,East,20445,9/14/2017,Regular Air,Connecticut,0.04,12,0.39,-97,286,17,23
Binders and Binder Accessories,Boston,Small Box,1026,Eugene Kerr,Small Business,Office Supplies,Peel & Stick Add-On Corner Pockets,11044,9/13/2019,89012,Not Specified,2129,East,20446,9/13/2019,Regular Air,Massachusetts,0.08,18,0.37,-193,40,6,2
Appliances,New London,Medium Box,3306,Claire Warren,Small Business,Office Supplies,"Holmes Replacement Filter for HEPA Air Cleaner, Medium Room",10937,3/30/2017,90461,Medium,6320,East,20447,4/1/2017,Regular Air,Connecticut,0.06,1,0.42,-16,18,6,11
Bookcases,Troy,Jumbo Box,3366,Dana Boyle,Home Office,Furniture,"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",10125,7/7/2020,90511,Low,45373,East,20448,7/9/2020,Delivery Truck,Ohio,0,4,0.78,-443,431,57,101
Envelopes,Troy,Small Box,3366,Dana Boyle,Home Office,Office Supplies,Colored Envelopes,11076,7/7/2020,90511,Low,45373,East,20449,7/11/2020,Regular Air,Ohio,0.02,6,0.39,-8,23,3,4
Office Furnishings,Atascadero,Large Box,883,Alex Harding,Consumer,Furniture,Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting,10278,9/17/2020,89558,Medium,93422,West,20450,9/19/2020,Regular Air,California,0.02,4,0.61,-29,75,12,17
Storage & Organization,Midland,Small Box,1986,Lynda Rosenthal,Home Office,Office Supplies,"Companion Letter/Legal File, Black",11056,1/11/2018,90889,Not Specified,79701,Central,20451,1/14/2018,Regular Air,Texas,0.06,7,0.57,9,264,13,38
Binders and Binder Accessories,Iowa City,Small Box,2329,Nancy Combs,Home Office,Office Supplies,Avery Binder Labels,10862,6/27/2020,90969,High,52240,Central,20452,6/28/2020,Regular Air,Iowa,0.04,7,0.37,-71,31,7,4
Office Furnishings,Lincoln Park,Small Pack,2743,Erin Brandt Spivey,Corporate,Furniture,G.E. Halogen Desk Lamp Bulbs,10806,10/22/2020,89216,Critical,48146,Central,20453,10/23/2020,Regular Air,Michigan,0.06,18,0.37,41,127,3,7
Paper,Lincoln Park,Small Box,2743,Erin Brandt Spivey,Corporate,Office Supplies,Xerox 1947,10874,10/22/2020,89216,Critical,48146,Central,20454,10/25/2020,Express Air,Michigan,0,20,0.4,-46,137,5,6
Computer Peripherals,Bartlesville,Small Pack,327,Sherri McKinney,Consumer,Technology,"80 Minute Slim Jewel Case CD-R , 10/Pack - Staples",10692,9/23/2018,90975,Medium,74006,Central,20455,9/25/2018,Regular Air,Oklahoma,0.02,10,0.52,21,89,2,8
Computer Peripherals,Bartlesville,Small Box,327,Sherri McKinney,Consumer,Technology,Logitech Internet Navigator Keyboard,10973,9/23/2018,90975,Medium,74006,Central,20456,9/24/2018,Regular Air,Oklahoma,0,5,0.79,-110,161,7,31
Office Furnishings,Bartlesville,Small Box,327,Sherri McKinney,Consumer,Furniture,"Seth Thomas 12"" Clock w/ Goldtone Case",10648,9/23/2018,90975,Medium,74006,Central,20457,9/24/2018,Express Air,Oklahoma,0.06,21,0.51,207,479,8,23
Computer Peripherals,Biloxi,Small Box,1551,Laurence Flowers,Consumer,Technology,Belkin MediaBoard 104- Keyboard,10641,5/24/2018,87489,Critical,39530,South,20458,5/26/2018,Regular Air,Mississippi,0.07,3,0.75,178,78,4,27
Appliances,Great Falls,Small Box,17,Florence Hsu Schwarz,Small Business,Office Supplies,Hoover Commercial Soft Guard Upright Vacuum And Disposable Filtration Bags,11005,4/4/2019,90034,Critical,59405,West,20459,4/6/2019,Express Air,Montana,0.05,4,0.58,-96,35,9,8
Computer Peripherals,Salisbury,Small Box,2468,Rhonda Stein,Corporate,Technology,Microsoft Internet Keyboard,11090,5/4/2020,88146,Not Specified,28144,South,20460,5/5/2020,Regular Air,North Carolina,0,1,0.78,2,29,7,21
Pens & Art Supplies,Salisbury,Wrap Bag,2468,Rhonda Stein,Corporate,Office Supplies,"Sanford EarthWrite® Recycled Pencils, Medium Soft, #2",10777,5/4/2020,88146,Not Specified,28144,South,20461,5/6/2020,Express Air,North Carolina,0.08,10,0.57,2477,22,1,2
Appliances,Marrero,Small Box,2752,Marc S Liu,Consumer,Office Supplies,Tripp Lite Isotel 6 Outlet Surge Protector with Fax/Modem Protection,10742,8/24/2019,88072,Critical,70072,South,20462,8/24/2019,Regular Air,Louisiana,0.04,21,0.56,-11,1254,5,61
Storage & Organization,Mason City,Small Box,2890,Harry Berger,Consumer,Office Supplies,Eldon Jumbo ProFile™ Portable File Boxes Graphite/Black,10442,11/8/2019,90019,Critical,50401,Central,20463,11/10/2019,Regular Air,Iowa,0.02,31,0.57,14,510,9,15
Computer Peripherals,Fayetteville,Small Box,1574,Sherry Hurley,Consumer,Technology,"Fellowes Basic 104-Key Keyboard, Platinum",10623,8/7/2017,86966,Medium,28314,South,20464,8/8/2017,Regular Air,North Carolina,0.07,19,0.65,27,391,6,21
Appliances,Bozeman,Medium Box,1949,Dana Waller,Small Business,Office Supplies,Holmes Odor Grabber,10844,10/9/2018,90418,Medium,59715,West,20465,10/10/2018,Regular Air,Montana,0.02,13,0.52,2,200,7,14
Envelopes,Colchester,Small Box,3317,Martin Mitchell,Small Business,Office Supplies,Staples Colored Interoffice Envelopes,10308,8/17/2020,90466,High,5439,East,20466,8/19/2020,Regular Air,Vermont,0.03,15,0.36,-3,488,20,31
Appliances,Englewood,Jumbo Drum,3313,Frances Boykin,Small Business,Office Supplies,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",10977,8/17/2020,90466,High,7631,East,20467,8/19/2020,Delivery Truck,New Jersey,0.01,11,0.41,-212,781,60,69
Pens & Art Supplies,Somerset,Wrap Bag,3315,Justin Gillespie,Small Business,Office Supplies,Newell 312,10410,8/17/2020,90466,High,8873,East,20468,8/19/2020,Regular Air,New Jersey,0,9,0.55,30,56,1,6
Paper,Grand Prairie,Wrap Bag,1935,Diana Coble Hubbard,Corporate,Office Supplies,"Snap-A-Way® Black Print Carbonless Ruled Speed Letter, Triplicate",11184,8/3/2018,86689,Critical,75051,Central,20469,8/6/2018,Express Air,Texas,0.01,18,0.38,487,705,5,38
Storage & Organization,Grand Prairie,Small Box,1935,Diana Coble Hubbard,Corporate,Office Supplies,Fellowes Recycled Storage Drawers,10590,8/3/2018,86689,Critical,75051,Central,20470,8/4/2018,Regular Air,Texas,0.01,8,0.78,109,901,9,111
Office Furnishings,Boston,Small Box,1606,Bob Ross,Home Office,Furniture,"Computer Room Manger, 14""",10333,8/9/2019,87996,Low,2129,East,20471,8/13/2019,Regular Air,Massachusetts,0.07,16,0.49,353,511,7,32
Paper,East Brunswick,Small Box,1097,Michele Meadows,Home Office,Office Supplies,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",10225,9/6/2020,89638,Medium,8816,East,20472,9/9/2020,Regular Air,New Jersey,0.01,15,0.36,159,644,20,41
Office Furnishings,Edison,Large Box,1098,Gregory Barefoot,Home Office,Furniture,"3M Polarizing Task Lamp with Clamp Arm, Light Gray",10619,9/6/2020,89638,Medium,8817,East,20473,9/9/2020,Regular Air,New Jersey,0.05,11,0.59,915,1459,24,137
